Девятый вал_Иван Айвазовский, 1850_Государственный Русский музей, Санкт-Петербург
Грачи прилетели_Алексей Саврасов, 1871_Третьяковская галерея, Москва
Утро в сосновом лесу_Иван Шишкин, при участии Константина Савицкого, 1889_Третьяковская галерея, Москва
Последний день Помпеи_Карл Брюллов, 1833_Государственный Русский музей, Санкт-Петербург
Бурлаки на Волге_Илья Репин, 1870—1873_Государственный Русский музей, Санкт-Петербург
Московский дворик_Василий Поленов, 1878_Третьяковская галерея, Москва
Опять двойка_Фёдор Решетников, 1952_Третьяковская галерея, Москва
Неизвестная_Иван Крамской, 1883_Третьяковская галерея, Москва
Демон сидящий_Михаил Врубель, 1890_Третьяковская галерея, Москва
Купание красного коня_Кузьма Петров-Водкин, 1912_Новая Третьяковская галерея, Москва
Рожь_Иван Шишкин, 1878_Третьяковская галерея, Москва
Новая Москва_Юрий Пименов, 1937_Третьяковская галерея, Москва
Богатыри_Виктор Васнецов, 1881-1898_Третьяковская галерея, Москва
Большевик_Борис Кустодиев, 1920_Третьяковская галерея, Москва
Оборона Севастополя_Александр Дейнек, 1942_Государственный Русский музей, Санкт-Петербург
Взятие снежного городка_Василий Суриков, 1891_Государственный Русский музей, Санкт-Петербург
Девушки в поле_Казимир Малевич, 1932_Государственный Русский музей, Санкт-Петербург
Поединок Пересвета с Челубеем на Куликовом поле_Михаил Авилов, 1943_Государственный Русский музей, Санкт-Петербург
